Area Type,Area Name,Date,Year,Month,Seasonally Adjusted ,Not Seasonally Adjusted
State,California,01/01/1976,1976,January,0.092,0.104
State,California,02/01/1976,1976,February,0.092,0.101
State,California,03/01/1976,1976,March,0.091,0.094
State,California,04/01/1976,1976,April,0.091,0.088
State,California,05/01/1976,1976,May,0.09,0.079
State,California,06/01/1976,1976,June,0.09,0.09
State,California,07/01/1976,1976,July,0.09,0.095
State,California,08/01/1976,1976,August,0.091,0.091
State,California,09/01/1976,1976,September,0.092,0.088
State,California,10/01/1976,1976,October,0.093,0.088
State,California,11/01/1976,1976,November,0.093,0.093
State,California,12/01/1976,1976,December,0.093,0.09
State,California,01/01/1977,1977,January,0.092,0.099
State,California,02/01/1977,1977,February,0.091,0.099
State,California,03/01/1977,1977,March,0.089,0.093
State,California,04/01/1977,1977,April,0.087,0.085
State,California,05/01/1977,1977,May,0.086,0.076
State,California,06/01/1977,1977,June,0.084,0.086
State,California,07/01/1977,1977,July,0.083,0.086
State,California,08/01/1977,1977,August,0.081,0.082
State,California,09/01/1977,1977,September,0.08,0.078
State,California,10/01/1977,1977,October,0.079,0.074
State,California,11/01/1977,1977,November,0.078,0.078
State,California,12/01/1977,1977,December,0.077,0.071
State,California,01/01/1978,1978,January,0.076,0.083
State,California,02/01/1978,1978,February,0.075,0.081
State,California,03/01/1978,1978,March,0.075,0.079
State,California,04/01/1978,1978,April,0.074,0.072
State,California,05/01/1978,1978,May,0.073,0.066
State,California,06/01/1978,1978,June,0.072,0.071
State,California,07/01/1978,1978,July,0.071,0.077
State,California,08/01/1978,1978,August,0.07,0.069
State,California,09/01/1978,1978,September,0.069,0.066
State,California,10/01/1978,1978,October,0.068,0.063
State,California,11/01/1978,1978,November,0.067,0.065
State,California,12/01/1978,1978,December,0.066,0.064
State,California,01/01/1979,1979,January,0.065,0.071
State,California,02/01/1979,1979,February,0.064,0.07
State,California,03/01/1979,1979,March,0.063,0.067
State,California,04/01/1979,1979,April,0.062,0.061
State,California,05/01/1979,1979,May,0.062,0.055
State,California,06/01/1979,1979,June,0.061,0.061
State,California,07/01/1979,1979,July,0.061,0.064
State,California,08/01/1979,1979,August,0.062,0.063
State,California,09/01/1979,1979,September,0.062,0.059
State,California,10/01/1979,1979,October,0.062,0.059
State,California,11/01/1979,1979,November,0.061,0.06
State,California,12/01/1979,1979,December,0.061,0.058
State,California,01/01/1980,1980,January,0.062,0.068
State,California,02/01/1980,1980,February,0.063,0.068
State,California,03/01/1980,1980,March,0.065,0.066
State,California,04/01/1980,1980,April,0.067,0.066
State,California,05/01/1980,1980,May,0.069,0.065
State,California,06/01/1980,1980,June,0.071,0.072
State,California,07/01/1980,1980,July,0.072,0.076
State,California,08/01/1980,1980,August,0.073,0.073
State,California,09/01/1980,1980,September,0.072,0.068
State,California,10/01/1980,1980,October,0.072,0.068
State,California,11/01/1980,1980,November,0.071,0.07
State,California,12/01/1980,1980,December,0.071,0.065
State,California,01/01/1981,1981,January,0.071,0.079
State,California,02/01/1981,1981,February,0.071,0.078
